Date,Open,High,Low,Close,Volume
28-Nov-17,195.34,199.68,194.01,199.18,6950714
27-Nov-17,195.56,195.85,194.00,195.05,3210145
24-Nov-17,196.65,196.90,195.33,195.75,2160535
22-Nov-17,196.58,196.75,193.63,196.32,5895402
21-Nov-17,195.04,197.52,194.97,196.23,4787311
20-Nov-17,193.30,194.32,191.90,194.10,3827474
17-Nov-17,195.74,195.95,192.65,193.20,3906333
16-Nov-17,194.33,197.70,193.75,195.51,5678355
15-Nov-17,194.54,195.42,191.53,192.12,4203072
14-Nov-17,193.64,195.88,193.00,195.71,3450513
13-Nov-17,191.12,196.05,191.00,195.08,4606951
10-Nov-17,191.61,192.59,189.50,192.02,6622168
9-Nov-17,194.46,194.49,190.81,193.90,5979925
8-Nov-17,196.00,197.09,194.74,196.44,4237398
7-Nov-17,200.00,200.61,194.80,195.89,6467969
6-Nov-17,200.00,202.48,198.09,200.13,5846581
3-Nov-17,199.80,200.55,197.99,200.01,3678829
2-Nov-17,197.45,199.44,197.09,199.32,3606332
1-Nov-17,197.24,199.20,196.00,198.00,5017420
31-Oct-17,198.21,198.59,195.22,196.43,5518595
30-Oct-17,199.62,201.10,197.07,198.37,5439563
27-Oct-17,197.20,200.65,196.22,199.54,8128567
26-Oct-17,194.66,197.61,194.08,195.21,5185830
25-Oct-17,195.38,197.06,193.01,193.77,5315269
24-Oct-17,192.75,196.74,191.40,196.02,7069108
23-Oct-17,194.17,194.90,191.03,192.47,6979994
20-Oct-17,195.90,196.38,193.77,194.16,5995568
19-Oct-17,193.01,195.25,191.16,195.13,7034602
18-Oct-17,199.99,200.01,194.25,195.54,11198938
17-Oct-17,200.11,204.38,197.77,199.48,23900118
16-Oct-17,201.95,202.83,197.86,202.68,22105442
13-Oct-17,199.70,200.82,197.19,199.49,12081252
12-Oct-17,196.75,198.62,194.71,195.86,7753341
11-Oct-17,195.57,196.22,193.81,194.95,6450161
10-Oct-17,197.85,198.30,192.10,195.08,6233823
9-Oct-17,199.10,199.40,196.56,196.87,6971714
6-Oct-17,194.30,198.92,192.05,198.02,15348356
5-Oct-17,185.65,194.49,184.49,194.39,19412690
4-Oct-17,181.41,186.70,181.25,184.45,9235867
3-Oct-17,177.65,179.70,177.55,179.19,3956940
2-Oct-17,182.11,182.80,176.58,177.01,7342007
29-Sep-17,180.73,182.90,180.65,181.35,4227864
28-Sep-17,181.25,181.95,179.36,180.70,4076986
27-Sep-17,181.01,183.34,180.70,181.97,4975952
26-Sep-17,180.70,180.95,176.55,179.38,5602471
25-Sep-17,186.46,186.55,177.70,178.55,9367231
22-Sep-17,188.40,189.85,186.39,187.35,5464312
21-Sep-17,185.82,189.95,184.51,188.78,7148104
20-Sep-17,186.10,186.50,183.20,185.51,4624993
19-Sep-17,184.98,186.23,184.17,185.68,4982086
18-Sep-17,183.61,185.45,182.73,184.62,5359569
15-Sep-17,182.73,184.93,181.43,182.35,5591743
14-Sep-17,183.25,185.29,182.07,182.63,4510722
13-Sep-17,184.07,184.50,182.55,183.64,4320349
12-Sep-17,182.55,185.33,180.64,185.15,6689568
11-Sep-17,178.10,182.47,178.03,181.74,5979447
8-Sep-17,178.45,180.39,176.25,176.42,4590846
7-Sep-17,178.80,180.35,177.10,179.00,6036146
6-Sep-17,175.25,179.46,173.73,179.25,8742643
5-Sep-17,173.40,175.88,172.44,174.52,4597441
1-Sep-17,175.55,176.48,173.92,174.74,3812968
31-Aug-17,175.45,176.24,173.86,174.71,6940990
30-Aug-17,169.50,174.85,169.37,174.69,8034743
29-Aug-17,165.00,169.68,164.73,168.81,4620920
28-Aug-17,166.43,168.67,165.60,167.12,3657264
25-Aug-17,168.58,168.75,165.50,165.95,4064040
24-Aug-17,169.86,171.24,166.15,168.13,5361749
